,tokens_read,tokens_written,seconds
0,236,1,3.9140753746032715
1,238,1,2.7826790809631348
2,237,1,2.5235202312469482
3,233,1,3.030909776687622
4,237,1,2.84538197517395
5,234,1,3.005222797393799
6,237,1,2.4745230674743652
7,242,1,2.6282386779785156
8,238,1,2.654510021209717
9,244,1,3.758333206176758
10,237,1,2.6793835163116455
11,238,1,3.765406847000122
12,239,1,1.928727626800537
13,236,1,2.270416021347046
14,236,1,2.5583572387695312
15,238,1,2.42427921295166
16,238,1,3.6597976684570312
17,239,1,2.7538955211639404
18,239,1,2.6535162925720215
19,236,1,2.768354654312134
20,240,1,3.295614242553711
21,234,1,3.4045302867889404
22,233,1,4.050493240356445
23,241,1,1.9979755878448486
24,237,1,2.653367757797241
25,238,1,2.2396326065063477
26,240,1,2.8757450580596924
27,242,1,2.4632062911987305
28,238,1,2.8670098781585693
29,227,1,3.641906261444092
30,239,1,2.2491865158081055
31,237,1,2.0076332092285156
32,238,1,3.4073073863983154
33,238,1,2.913407325744629
34,238,1,3.134991407394409
35,239,1,2.5095674991607666
36,237,1,2.4337708950042725
37,235,1,2.2631866931915283
38,237,1,3.045513868331909
39,236,1,4.22334623336792
40,234,1,3.011721134185791
41,238,1,3.3311989307403564
42,230,1,2.9157962799072266
43,240,1,2.9913642406463623
44,237,1,2.841311454772949
45,240,1,2.8604066371917725
46,233,1,2.0920979976654053
47,235,1,2.3798155784606934
48,237,1,3.3519623279571533
49,238,1,3.854247570037842
50,231,1,2.3274338245391846
51,233,1,2.413233757019043
52,232,1,1.8559551239013672
53,228,1,2.1774559020996094
54,232,1,2.9819798469543457
55,229,1,2.542483329772949
56,232,1,1.7877001762390137
57,237,1,1.8255398273468018
58,233,1,2.2198996543884277
59,239,1,2.6990959644317627
60,232,1,3.3330912590026855
61,233,1,2.2882115840911865
62,234,1,1.900264024734497
63,231,1,2.494333028793335
64,231,1,1.7446832656860352
65,233,1,1.3406274318695068
66,233,1,7.712316513061523
67,234,1,2.425377130508423
68,234,1,2.584643602371216
69,231,1,2.363041877746582
70,235,1,2.3908801078796387
71,229,1,2.5984387397766113
72,228,1,2.0998728275299072
73,236,1,2.7690773010253906
74,232,1,2.249345064163208
75,233,1,2.274580717086792
76,235,1,2.469196081161499
77,237,1,1.435293436050415
78,233,1,3.062892198562622
79,222,1,4.0529913902282715
80,234,1,3.2596471309661865
81,232,1,1.9878239631652832
82,233,1,3.0789968967437744
83,233,1,1.142110824584961
84,233,1,2.9336400032043457
85,234,1,2.592550039291382
86,232,1,2.9195988178253174
87,230,1,2.5205564498901367
88,232,1,1.521519660949707
89,231,1,3.8672373294830322
90,229,1,7.57330322265625
91,233,1,2.645108461380005
92,225,1,2.532694101333618
