,tokens_read,tokens_written,seconds
0,70,1,0.5402283668518066
1,75,1,0.4431438446044922
2,79,1,1.027597427368164
3,85,1,1.0484683513641357
4,78,1,0.984987735748291
5,73,1,0.4844062328338623
6,77,1,0.8207430839538574
7,70,1,0.28972458839416504
8,69,1,0.2434704303741455
9,84,1,0.2499847412109375
10,87,1,0.24596738815307617
11,78,1,0.2332139015197754
12,74,1,0.21863985061645508
13,80,1,0.25554704666137695
14,84,1,0.27922582626342773
15,76,1,0.2279224395751953
16,89,1,0.23906874656677246
17,77,1,0.3615250587463379
18,77,1,0.30979394912719727
19,74,1,0.22720789909362793
20,73,1,0.26140594482421875
21,78,1,0.6230442523956299
22,73,1,0.8238749504089355
23,94,1,0.23650455474853516
24,94,1,0.41388869285583496
25,76,1,0.26846957206726074
26,79,1,0.2400515079498291
27,79,1,0.2563743591308594
28,71,1,0.4615345001220703
29,104,1,0.9807865619659424
30,78,1,0.2475423812866211
31,76,1,0.2197117805480957
32,68,1,0.4314734935760498
33,77,1,0.3990147113800049
34,72,1,0.2497403621673584
35,74,1,0.25864672660827637
36,87,1,0.31424784660339355
37,99,1,0.2809717655181885
38,80,1,0.400348424911499
39,72,1,0.3193686008453369
40,71,1,0.23408722877502441
41,67,1,0.2739448547363281
42,68,1,0.2679605484008789
43,90,1,0.6959733963012695
44,92,1,0.2576942443847656
45,70,1,0.338533878326416
46,83,1,0.272918701171875
47,73,1,0.567033052444458
48,70,1,0.22067499160766602
49,68,1,0.30528759956359863
50,94,1,0.3863403797149658
51,99,1,0.26175832748413086
52,103,1,0.373293399810791
53,109,1,0.45957112312316895
54,102,1,0.289170503616333
55,97,1,0.27779269218444824
56,101,1,0.2684450149536133
57,94,1,0.23847007751464844
58,93,1,0.24985051155090332
59,108,1,0.2472705841064453
60,111,1,0.23974943161010742
61,102,1,0.25606250762939453
62,98,1,0.37700438499450684
63,104,1,0.23716521263122559
64,108,1,0.23494863510131836
65,100,1,0.24705123901367188
66,113,1,0.31073832511901855
67,101,1,0.40085625648498535
68,101,1,0.239363431930542
69,98,1,0.38408541679382324
70,97,1,0.27852439880371094
71,102,1,0.2694120407104492
72,97,1,0.28040075302124023
73,118,1,0.25716114044189453
74,118,1,0.20336127281188965
75,100,1,0.23250865936279297
76,103,1,0.2951691150665283
