tokens_read,tokens_written,seconds
237,1,0.57460618019104
233,1,0.4770975112915039
234,1,0.28449368476867676
237,1,0.2577049732208252
233,1,0.4351649284362793
237,1,0.30313968658447266
235,1,0.4375479221343994
236,1,0.46646690368652344
235,1,4.482502460479736
237,1,0.801903486251831
234,1,0.3978102207183838
233,1,0.28871822357177734
236,1,0.29686641693115234
234,1,0.3288242816925049
237,1,0.9976291656494141
234,1,0.2968559265136719
236,1,0.31812572479248047
236,1,0.3241274356842041
234,1,0.28157711029052734
238,1,0.35269594192504883
237,1,0.5833115577697754
234,1,0.3743622303009033
232,1,0.3243539333343506
236,1,0.39206385612487793
236,1,0.3157496452331543
236,1,0.279036283493042
236,1,0.26109766960144043
237,1,0.3289682865142822
234,1,0.4512064456939697
237,1,0.3932492733001709
233,1,0.372328519821167
233,1,0.3802638053894043
237,1,0.5218601226806641
236,1,0.3553633689880371
237,1,0.3988490104675293
234,1,0.36469340324401855
234,1,0.42907238006591797
237,1,0.3965620994567871
236,1,0.4106271266937256
236,1,0.3660924434661865
236,1,0.3491528034210205
233,1,0.4970424175262451
232,1,0.44109678268432617
233,1,0.4330315589904785
232,1,0.4103226661682129
236,1,0.4464735984802246
234,1,0.5017604827880859
234,1,0.4599902629852295
233,1,0.5117979049682617
234,1,0.5107755661010742
233,1,0.4017455577850342
232,1,0.3799717426300049
235,1,0.5437283515930176
226,1,0.45217418670654297
236,1,0.4879112243652344
233,1,0.45926856994628906
235,1,0.4906158447265625
235,1,0.37659621238708496
233,1,0.36370301246643066
237,1,0.6699938774108887
236,1,0.4707651138305664
236,1,0.4956479072570801
235,1,0.4590170383453369
235,1,0.35431480407714844
235,1,0.5609090328216553
237,1,0.4201774597167969
237,1,0.5430915355682373
233,1,0.44672060012817383
234,1,0.522881269454956
237,1,0.4375615119934082
233,1,0.6105422973632812
237,1,0.2952601909637451
235,1,0.6219086647033691
235,1,0.26313161849975586
234,1,0.2954714298248291
236,1,0.4869351387023926
235,1,0.2980165481567383
237,1,0.4379894733428955
234,1,0.4770381450653076
233,1,0.2849109172821045
236,1,0.5586509704589844
234,1,0.4277968406677246
237,1,0.43642401695251465
234,1,0.3132317066192627
236,1,0.6405742168426514
234,1,0.47785067558288574
237,1,0.6418652534484863
237,1,0.43355727195739746
236,1,0.6154642105102539
237,1,0.48026609420776367
236,1,0.4361453056335449
236,1,0.33559727668762207
236,1,0.4697422981262207
240,1,0.3671584129333496
236,1,0.284487247467041
237,1,0.2911992073059082
240,1,0.29245519638061523
240,1,0.31848740577697754
236,1,0.9860315322875977
240,1,0.2789590358734131
238,1,0.2862818241119385
237,1,0.26833128929138184
238,1,0.5646862983703613
237,1,0.5605649948120117
236,1,0.2290651798248291
239,1,0.5181357860565186
237,1,0.316478967666626
240,1,0.24908947944641113
237,1,0.22916603088378906
239,1,0.24038147926330566
239,1,0.48991870880126953
237,1,0.290264368057251
241,1,0.2572321891784668
240,1,0.27130603790283203
237,1,0.5253896713256836
240,1,0.3357813358306885
239,1,0.4710671901702881
239,1,0.5191950798034668
240,1,0.2705199718475342
239,1,0.297335147857666
239,1,0.4465978145599365
236,1,0.2530534267425537
233,1,0.5440945625305176
232,1,0.4226057529449463
235,1,0.5133845806121826
236,1,0.5311586856842041
236,1,0.4473445415496826
235,1,0.49455809593200684
236,1,0.4875669479370117
235,1,0.2835731506347656
236,1,0.744638204574585
235,1,0.448441743850708
233,1,0.4633777141571045
237,1,0.5656614303588867
236,1,0.4394803047180176
233,1,0.5359182357788086
231,1,0.4658493995666504
235,1,0.45775270462036133
235,1,0.4268531799316406
235,1,0.38607096672058105
236,1,0.34654903411865234
233,1,0.3719971179962158
236,1,0.3280065059661865
232,1,0.5830988883972168
233,1,0.30212926864624023
235,1,0.38655734062194824
236,1,0.38358211517333984
