text,sentiment
Then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,neutral
also bored at school its my third freelesson freistunde,neutral
hm Both of us I guess,neutral
it is u have dissappointed me that past few days,negative
romance zero is funny,positive
Id rather do the early runbut I am a morning runner,neutral
Bah a coworker ran into work late and her bag smacked into my knee it really hurts now,negative
will be back later httpplurkcomprp3k7,neutral
Aw Torn ace of hearts Hunchback,negative
what fun are you speaking of,neutral
i lost all my friends im alone and sleepyi wanna go home,negative
haha yes,neutral
I give in to easily,negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,positive
mannnn got an iphone im jealous httpbitlyNgnaR,negative
Is at a photoshoot,neutral
Hes awesome Have you worked with him before Hes a good friend,positive
Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,neutral
Chilliin,positive
If you know such agent do let me know,neutral
I still smell of smoke kitchenfire,neutral
a celticslakers rematch sounds better dont you think lol,positive
Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB Blog Flickr etc,neutral
you can ride one you can catch one but its not summer til you pop open one,neutral
she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
OK Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,neutral
WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,negative
My sources say no,neutral
I am sooo tired,negative
Hey you change your twitter account and you didnt even tell me,neutral
THANK YYYYYYYYYOOOOOOOOOOUUUUU,positive
lucky kidi so wanna see loserville pity im in oz,positive
fell asleep waiting for my ride,neutral
Sick With a flu like thing,negative
Still no reply from about my SimFinger problem So no iRape parody video until I get a response sorry guys,negative
Happy Star Wars day everyone and Enjoy the holiday UK,positive
Miles from you Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral
His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left I love him,neutral
i miss you bby wish you were going tomorrow to make me do good,negative
Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,positive
SWEEEEET San Fran is awesome Love it there,positive
Mounce yes and it lasts way past my bedtime,neutral
Hi how are you doing just joined twitter,neutral
waiting for sleeping pills to kick in gonna be so tired at work tomorrow,negative
eating ice cream and then getting ready for graduation,neutral
Happy Mothers day to all you Mums out there,positive
CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,negative
hemp cloth is marvelous but unfortunately no,negative
Gonna read a story bout adam lambert online then bed Nighty night,neutral
We saw that in none 3D the baddies the best,positive
