text
"Joe: ""I first heard about the losses in February 2022."""
"Martin: ""I first heard about the losses in February 2022."""
"Jane: ""I first heard about the losses in February 2022."""
"Julia: ""I first heard about the losses in February 2022."""
"Jeff: ""I first heard about the losses in February 2022."""
"Victor: ""I first heard about the losses in February 2022."""
"Bob: ""I first heard about the losses in February 2022."""
"Alice: ""I first heard about the losses in February 2022."""
"Rosy: ""I first heard about the losses in February 2022."""
"Bella: ""I first heard about the losses in February 2022."""
