text,aspect_term,polarity
But the staff was so horrible to us.,staff,negative
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive
"Not only was the food outstanding, but the little 'perks' were great.",food,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,positive
Nevertheless the food itself is pretty good.,food,positive
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral
The design and atmosphere is just as good.,place,positive
He has visited Thailand and is quite expert on the cuisine.,food,positive
The pizza is the best if you like thin crusted pizza.,food,positive
"All the money went into the interior decoration, none of it went to the chefs.",place,positive
The seats are uncomfortable if you are sitting against the wall on wooden benches.,place,negative
"I asked for seltzer with lime, no ice.",food,neutral
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive
My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral
"Best of all is the warm vibe, the owner is super friendly and service is fast.",place,positive
Faan's got a great concept but a little rough on the delivery.,delivery,negative
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive
this little place has a cute interior decor and affordable city prices.,place,positive
Two words: Free wine.,drinks,positive
The price is reasonable although the service is poor.,price,positive
"The quantity is also very good, you will come out satisfied.",food,positive
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",food,neutral
The fried rice is amazing here.,food,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive
it's a perfect place to have a amanzing indian food.,food,positive
The place is so cool and the service is prompt and curtious.,service,positive
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive
I just wonder how you can have such a delicious meal for such little money.,food,positive
The food was delicious but do not come here on a empty stomach.,food,conflict
The wine list is excellent.,drinks,positive
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive
They wouldnt even let me finish my glass of wine before offering another.,drinks,neutral
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",food,neutral
This is a consistently great place to dine for lunch or dinner.,food,neutral
"Nice atmosphere, the service was very pleasant and the desert was good.",place,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,place,positive
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive
Try the lasagnette appetizer.,food,positive
I liked the beer selection!,drinks,positive
"Great food, good size menu, great service and an unpretensious setting.",food,positive
Go here for a romantic dinner but not for an all out wow dining experience.,place,positive
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,food,neutral
Wine list selection is good and wine-by-the-glass was generously filled to the top.,drinks,positive
"With the great variety on the menu , I eat here often and never get bored .",food,positive
The menu is very limited - i think we counted 4 or 5 entrees.,food,negative
The menu is limited but almost all of the dishes are excellent.,food,negative
