text,aspect,sentiment
The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.,staff,negative
"Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.",staff,negative
the tables are in the back and the ambience was less to be desired.,ambience,negative
"While service is still ok, the food has been not up to par on my last few visits.",service,positive
"While service is still ok, the food has been not up to par on my last few visits.",food,negative
"After the wine experience, I actually expected worse than what was served.",service,negative
I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,ambience,positive
"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.",staff,negative
"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.",miscellaneous,negative
"The food at Cafe Asean is to die for, and the prices are unmatchable.",food,positive
"The food at Cafe Asean is to die for, and the prices are unmatchable.",price,negative
"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",miscellaneous,positive
"The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.",place,negative
It also has great ice cream and spumoni ices.,food,positive
"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",food,positive
"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",miscellaneous,negative
"However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.",service,negative
The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.,staff,negative
"Sometimes, the take-out and seating lines can be long, but the staff help move things along.",staff,positive
"I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.",place,negative
THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,ambience,positive
THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.,miscellaneous,negative
"A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).",staff,negative
"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.",food,positive
"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.",service,negative
"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",food,positive
"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)",staff,positive
Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,staff,negative
"Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.",staff,positive
"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).",staff,negative
"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",service,negative
"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",ambience,negative
"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.",food,positive
Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.,staff,positive
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",food,positive
"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.",place,positive
The food was served promptly and was really hot.,food,positive
"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",place,positive
"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.",staff,positive
I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,ambience,positive
"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.",service,negative
"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",ambience,positive
"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.",place,negative
We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,service,negative
"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",staff,positive
"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.",food,negative
Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).,food,negative
"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.",service,negative
Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,staff,negative
Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.,service,negative
